2023年04月原材料收发存明细表,,,,,,,,,,
商品编号,商品全名,成品货号,上期存上期数量,上期存上期金额,本期入入库合计数量,本期入入库合计金额,本期出出库合计数量,本期出出库合计金额,本期存本期数量,本期存本期金额
020104110,内托,,5060,3440.8,,,,,5060,3440.8
02010500,12色丝滑蜡笔折页,,2000,1100,,,,,2000,1100
020105001,造型沙小卡片说明书,,4000,600,,,,,4000,600
020105002,卡片,CH201764,172,154.8,,,172,154.8,,
020105003,卡片,CH201763,6094,5484.6,,,172,154.8,5922,5329.8
020105004,卡片,CH201765,652,586.8,,,172,154.8,480,432
020105005,卡片,CH201766,5798,5218.2,,,172,154.8,5626,5063.4
020105006,贺卡,CH201772,6138,1841.4,,,1288,386.4,4850,1455
020105008,异形2折页,CH211590,8078,3129.8,6100,2440,1216,486.4,12962,5083.4
020105009,异形2折页,CH211591,3980,1393,,,832,291.2,3148,1101.8
020105010,（钻石画-猫咪）面具,CH201767,42,65.52,,,,,42,65.52
020105012,（4合1独角兽手工盒）家长贴士,,4000,1160,,,,,4000,1160
020105013,（木制印章）家长贴士,,2675,535,,,,,2675,535
020105014,（摩尔家族去野餐）家长贴士,,1000,200,,,,,1000,200
020105015,（摩尔奶奶教缝制）家长贴士,,1000,200,,,,,1000,200
020105016,（钻石画）家长贴士,,2000,400,,,,,2000,400
020105017,（涂鸦与装扮）家长贴士,,2000,400,,,,,2000,400
020105018,（折纸飞机）家长贴士,,2000,520,,,,,2000,520
020105029,（造型沙礼盒装）家长贴士,,5000,1500,,,,,5000,1500
020105030,（大圆筒系列）家长贴士,,14400,2880,,,,,14400,2880
020105035,（3合1水画本）家长贴士,,4000,800,,,,,4000,800
020105037,（积木蜡笔）家长贴士,,4000,800,,,,,4000,800
020105038,（折纸）家长贴士,,4000,800,,,,,4000,800
020105039,（积木蜡笔-交通）纸内托,BTS216013,5810,2033.5,,,124,43.4,5686,1990.1
020105040,（积木蜡笔-恐龙）纸内托,BTS216014,6810,2383.5,,,,,6810,2383.5
020105041,（积木蜡笔-太空）纸内托,BTS216015,4030,1410.5,,,,,4030,1410.5
020105042,（积木蜡笔-城市）纸内托,BTS216016,4000,1400,,,,,4000,1400
020105043,（积木蜡笔-城市）画纸,BTS216016,8886,2827.5,,,,,8886,2827.5
020105044,（积木蜡笔-太空）画纸,BTS216015,8910,2833.5,,,,,8910,2833.5
020105045,（积木蜡笔-恐龙）画纸,BTS216014,10836,3792.6,,,,,10836,3792.6
020105046,（积木蜡笔-交通）画纸,BTS216013,10954,3833.9,,,124,43.4,10830,3790.5
020105055,（梦幻刮画灯）纸内托,CH191434,4342,2605.2,,,932,559.2,3410,2046
020105073,（多款手链大盒子）绕线卡片,,,,3030,363.6,,,3030,363.6
020105075,（进阶缝制）家长贴士,,5000,1600,,,,,5000,1600
020105083,3张铁胶卡片,CH211788,3100,16740,,,284,1533.6,2816,15206.4
020105084,3张铁胶卡片,CH211789,3148,16999.2,,,184,993.6,2964,16005.6
020105085,异形纸卡,CH211790,9770,1954,,,4080,816,5690,1138
020105086,异形纸卡,CH211791,5550,1110,,,1020,204,4530,906
020105087,异形纸卡,CH211792,5808,1161.6,,,2040,408,3768,753.6
020104141,（立体拼贴画-动物部落）拼插纸卡,CH221839,4856,16632,,,1720,5934,3136,10698
020104142,（立体拼贴画-春日花园）拼插纸卡,CH221840,5720,19612.8,,,1720,5934,4000,13678.8
020104143,（立体拼贴画-恐龙时代）拼插纸卡,CH221841,4856,16632,,,1288,4443.6,3568,12188.4
020104144,（立体拼贴画-海洋公主）拼插纸卡,CH221842,4928,16880.4,,,1216,4195.2,3712,12685.2
020105106,纸质面具,CH221575,1120,89.6,,,,,1120,89.6
020105108,福字,CH221575,1120,44.8,,,,,1120,44.8
020104150,贺卡,CH221855,9150,4270,,,360,90,8790,4180
020104151,贺卡,CH221856,9150,4270,,,360,90,8790,4180
020104152,贺卡,CH221857,9150,4270,,,360,90,8790,4180
020104153,贺卡,CH221858,9150,4270,,,360,90,8790,4180
020104154,贺卡,CH221773,3050,2882.25,,,496,468.72,2554,2413.53
020104155,纸质调色盘,CH221773,3050,3684.4,,,496,599.17,2554,3085.23
020104156,拼插纸卡,CH221893,3050,8387.5,,,1102,3030.5,1948,5357
020104157,拼插纸卡,CH221773,3050,7472.5,,,496,1215.2,2554,6257.3
02010508,(水画纸-小狼)水画纸,LP10939-1,8100,42930,,,,,8100,42930
02010512,沙画纸,LE01220-1,8249,21694.87,,,,,8249,21694.87
02010518,(像素马赛克-城市与交通)四折页,CH191596,159,135.15,,,159,135.15,,
02010542,装饰纸卡,CH191682,8968,3138.8,6100,2135,480,168,14588,5105.8
02010543,装饰纸卡,CH191683,1818,72.72,,,580,23.2,1238,49.52
02010545,装饰纸卡,CH191685,8353,2923.55,,,232,81.2,8121,2842.35
02010546,内衬卡,CH191682/3/4/5,19950,15960,,,480,384,19470,15576
02010560,围卡,CH191434,1576,819.52,,,932,484.64,644,334.88
02010567,拷贝纸,,,,2550,1402.5,,,2550,1402.5
02010568,磁贴固定纸板,,200,72,,,,,200,72
02010569,磁力墙贴双胶纸,,200,13,,,,,200,13
02010570,衍纸,,23360,42048,,,,,23360,42048
02010571,内衬,CH201743,2260,791,,,500,175,1760,616
02010572,内衬,CH201744,3092,1082.2,,,150,52.5,2942,1029.7
02010578,衍纸衬卡,,4947,1236.75,,,,,4947,1236.75
02010581,纸孔板,CH201772,3138,4079.4,,,1052,1367.6,2086,2711.8
02010582,拼插纸卡,CH201761,2966,5487.1,,,,,2966,5487.1
02010583,拼插纸卡+支架+底座纸卡,CH201760,2966,13999.52,,,,,2966,13999.52
02010584,印台内衬,CH201764,172,51.6,,,172,51.6,,
02010585,印台内衬,CH201763,6094,1828.2,,,172,51.6,5922,1776.6
02010586,印台内衬,CH201765,652,195.6,,,172,51.6,480,144
02010587,印台内衬,CH201766,5798,1739.4,,,172,51.6,5626,1687.8
02010588,内衬档条,CH201772,68,30.6,,,68,30.6,,
02010590,封套,CH201760,2966,2610.08,,,,,2966,2610.08
02010591,内衬,CH201760,2966,3054.98,,,,,2966,3054.98
02010592,孔洞纸卡+旗帜纸卡,CH201760,4760,2094.4,,,,,4760,2094.4
02010593,封套,CH201761,2966,2610.08,,,,,2966,2610.08
02010594,内衬,CH201761,2966,2521.1,,,,,2966,2521.1
020106004,彩纸,CH211734,,,8,406.4,8,406.4,,
020106006,硫酸纸,,48480,5800.4,,,,,48480,5800.4
020106011,（衍纸艺术套装-独角兽）纸条,CH201743,2330,72.23,,,36,1.12,2294,71.11
020106023,装饰纸卡,CH191682,1878,75.12,3050,122,480,19.2,4448,177.92
020106024,装饰纸卡,CH191685,2226,89.04,,,232,9.28,1994,79.76
